#Dat-format-version: 1
#Plate-boundaries: 321,267,4894,3170
#Grid-boundaries: 496,326,4718,3119
#Window: 90
row	col	size	circularity
6	19	3006.0	0.9226638943046612
6	20	3086.0	0.9281219978911364
6	21	2792.0	0.927348327112051
6	22	2894.0	0.9260785292280439
6	23	2958.0	0.9277375743828477
6	24	2999.0	0.9296819926120149
6	25	3019.0	0.9206668626143143
6	26	3039.0	0.9161603703447805
6	27	3073.0	0.9189377697551852
6	28	3153.0	0.910100909628428
6	29	2968.0	0.9200720753826144
6	30	2961.0	0.9029793243461363
6	31	2975.0	0.9168989218019742
6	32	3074.0	0.9109620720482268
6	33	2969.0	0.8950576306527321
6	34	3235.0	0.9307061145086113
6	35	2654.0	0.9132928743780239
6	36	2784.0	0.9136517861891421
6	37	2791.0	0.9214576903009996
6	38	3019.0	0.9175621187490232
6	39	3371.0	0.9214715559728467
6	40	3598.0	0.9005732315378079
6	41	2667.0	0.9234190705081335
6	42	2847.0	0.9187037049274122
6	43	2894.0	0.9152248072285379
6	44	3094.0	0.9221278011257203
6	45	2969.0	0.9128545428081962
6	46	3448.0	0.9103342942422508
6	47	3348.0	0.9102041222282706
6	48	4808.0	0.9062216249506398
7	1	4610.0	0.8947530147239062
7	2	3501.0	0.907610288045225
7	3	2895.0	0.920945792253113
7	4	2789.0	0.920797383822819
7	5	2678.0	0.9295941262195736
7	6	2612.0	0.9179538724065605
7	7	2606.0	0.9055577401239832
7	8	2598.0	0.9210866340410373
7	9	2564.0	0.9170854863438805
7	10	2604.0	0.90717628548939
7	11	2352.0	0.9325844833810882
7	12	2277.0	0.9260306198480964
7	13	2445.0	0.9333173822994043
7	14	2329.0	0.9234648221915622
7	15	2412.0	0.9291861974776617
7	16	2421.0	0.9241559846817413
7	17	2299.0	0.914059573040263
7	18	2309.0	0.9277048972771356
7	19	2579.0	0.9258374280816315
7	20	2657.0	0.9199566817923167
7	21	2443.0	0.9206263370169443
7	22	2642.0	0.936686253709169
7	23	2416.0	0.913882945972432
7	24	2658.0	0.9045016836678944
7	25	2972.0	0.9266966056310638
7	26	3164.0	0.9051980658614326
7	27	2403.0	0.9172849364684942
7	28	2560.0	0.924798531260901
7	29	2575.0	0.9072775773349878
7	30	2734.0	0.9350808219535758
7	31	2508.0	0.9257615549273345
7	32	2618.0	0.9281773702538243
7	33	2417.0	0.9286155984300951
7	34	2474.0	0.9298358018793923
7	35	2395.0	0.920163160215175
7	36	2657.0	0.9032163596630649
7	37	2194.0	0.92536636820512
7	38	2307.0	0.9269013417143144
7	39	1817.0	0.926880583583648
7	40	2095.0	0.9222750011204174
7	41	2445.0	0.9130767245384243
7	42	2611.0	0.9017312693604016
7	43	2530.0	0.9304183220027772
7	44	2664.0	0.9190665294272933
7	45	2563.0	0.9200935743207533
7	46	2917.0	0.9247484322428676
7	47	3151.0	0.9137691546331166
7	48	4437.0	0.9007820010691702
8	1	4598.0	0.9101157492129964
8	2	3562.0	0.916513955745262
8	3	3095.0	0.9047160792157435
8	4	2972.0	0.9235367063170741
8	5	2902.0	0.9101739150977092
8	6	2802.0	0.9195590175653653
8	7	2984.0	0.9017216659591125
8	8	2974.0	0.9219320593624987
8	9	2900.0	0.9117557517800947
8	10	2963.0	0.9216610332852657
8	11	2492.0	0.9366009774791614
8	12	2520.0	0.9291784866454493
8	13	3034.0	0.9221210560730493
8	14	3105.0	0.9285069232313211
8	15	2795.0	0.9339617398650649
8	16	3078.0	0.90786345472973
8	17	2642.0	0.9204146491025224
8	18	2740.0	0.9155832440895448
8	19	3050.0	0.9194765151535305
8	20	3256.0	0.9190732818182606
8	21	3059.0	0.9116964911582347
